Protein_ID,experiment,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
Sequence_1,randomly generated,Cytoplasm|Extracellular,,0.5733000040054321,0.4097999930381775,0.6201000213623047,0.05770000070333481,0.5414999723434448,0.0031999999191612005,0.14079999923706055,0.02329999953508377,0.18940000236034393,0.1062999963760376
Sequence_2,randomly generated,Nucleus,,0.4433000087738037,0.44359999895095825,0.13529999554157257,0.13339999318122864,0.37470000982284546,0.005499999970197678,0.1665000021457672,0.11150000244379044,0.06809999793767929,0.14229999482631683
Sequence_3,randomly generated,Cytoplasm,,0.6262000203132629,0.4447000026702881,0.41429999470710754,0.03720000013709068,0.35830000042915344,0.0013000000035390258,0.20319999754428864,0.02070000022649765,0.0746999979019165,0.03620000183582306
Sequence_4,randomly generated,Cytoplasm,,0.5389000177383423,0.36059999465942383,0.33390000462532043,0.13050000369548798,0.599399983882904,0.007899999618530273,0.08730000257492065,0.026499999687075615,0.07119999825954437,0.05810000002384186
Sequence_5,randomly generated,Extracellular,,0.296999990940094,0.3763999938964844,0.6295999884605408,0.17720000445842743,0.42820000648498535,0.00559999980032444,0.10790000110864639,0.1386999934911728,0.20909999310970306,0.05420000106096268
Sequence_6,randomly generated,Nucleus,,0.24709999561309814,0.6674000024795532,0.17900000512599945,0.272599995136261,0.399399995803833,0.03629999980330467,0.0869000032544136,0.05920000001788139,0.04500000178813934,0.01080000028014183
Sequence_7,randomly generated,Cytoplasm|Nucleus,Nuclear localization signal,0.5031999945640564,0.7046999931335449,0.2272000014781952,0.25189998745918274,0.3919000029563904,0.023600000888109207,0.0828000009059906,0.030400000512599945,0.05640000104904175,0.008899999782443047
Sequence_8,randomly generated,Nucleus,,0.42820000648498535,0.5353000164031982,0.06920000165700912,0.14910000562667847,0.6207000017166138,0.00860000029206276,0.31380000710487366,0.09860000014305115,0.11129999905824661,0.002899999963119626
Sequence_9,randomly generated,Cytoplasm,,0.5690000057220459,0.44179999828338623,0.16500000655651093,0.13079999387264252,0.6164000034332275,0.002300000051036477,0.09369999915361404,0.02800000086426735,0.06379999965429306,0.002899999963119626
Sequence_10,randomly generated,Cytoplasm|Nucleus,Nuclear localization signal,0.5550000071525574,0.8192999958992004,0.41290000081062317,0.1266999989748001,0.11259999871253967,0.00019999999494757503,0.06289999932050705,0.10750000178813934,0.08649999648332596,0.030300000682473183
Sequence_11,randomly generated,Cytoplasm,,0.6761000156402588,0.4203000068664551,0.30059999227523804,0.16830000281333923,0.2669000029563904,0.07720000296831131,0.05770000070333481,0.04989999905228615,0.14509999752044678,0.023099999874830246
Sequence_12,randomly generated,Cytoplasm|Nucleus|Mitochondrion,,0.5159000158309937,0.7498000264167786,0.16509999334812164,0.09860000014305115,0.6399999856948853,0.0044999998062849045,0.020400000736117363,0.05220000073313713,0.015699999406933784,0.006300000008195639
Sequence_13,randomly generated,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.22259999811649323,0.09780000150203705,0.27799999713897705,0.32190001010894775,0.3637000024318695,0.046799998730421066,0.6570000052452087,0.506600022315979,0.5827000141143799,0.045099999755620956
Sequence_14,randomly generated,Cytoplasm,Nuclear export signal,0.7419000267982483,0.36980000138282776,0.4368000030517578,0.10559999942779541,0.6119999885559082,0.012000000104308128,0.1137000024318695,0.16019999980926514,0.22179999947547913,0.01810000091791153
Sequence_15,randomly generated,Mitochondrion,,0.4602000117301941,0.3244999945163727,0.21969999372959137,0.2782999873161316,0.555400013923645,0.0071000000461936,0.28769999742507935,0.12250000238418579,0.2840000092983246,0.0071000000461936
Sequence_16,randomly generated,Mitochondrion,,0.4677000045776367,0.4636000096797943,0.09640000015497208,0.10849999636411667,0.47769999504089355,0.008799999952316284,0.06629999727010727,0.0860000029206276,0.06939999759197235,0.06440000236034393
Sequence_17,randomly generated,Cytoplasm|Nucleus,Nuclear localization signal,0.6269999742507935,0.6901999711990356,0.23970000445842743,0.11420000344514847,0.45100000500679016,0.008899999782443047,0.1988999992609024,0.018200000748038292,0.023600000888109207,0.016100000590085983
Sequence_18,randomly generated,Cytoplasm|Nucleus,,0.5388000011444092,0.5569000244140625,0.2070000022649765,0.15919999778270721,0.1956000030040741,0.005400000140070915,0.28209999203681946,0.08900000154972076,0.13650000095367432,0.04320000112056732
Sequence_19,randomly generated,Cytoplasm,,0.5022000074386597,0.41510000824928284,0.2800999879837036,0.12380000203847885,0.373199999332428,0.01860000006854534,0.1356000006198883,0.07580000162124634,0.08669999986886978,0.18039999902248383
Sequence_20,randomly generated,Cytoplasm,Nuclear localization signal,0.5392000079154968,0.4596000015735626,0.28439998626708984,0.13910000026226044,0.3450999855995178,0.03779999911785126,0.2912999987602234,0.056299999356269836,0.14890000224113464,0.0026000000070780516
Sequence_21,randomly generated,Cytoplasm|Nucleus,,0.5315999984741211,0.6236000061035156,0.46129998564720154,0.16089999675750732,0.46299999952316284,0.0005000000237487257,0.14839999377727509,0.05130000039935112,0.05139999836683273,0.007600000128149986
Sequence_22,randomly generated,Cytoplasm|Nucleus,Nuclear export signal,0.504800021648407,0.7421000003814697,0.3677999973297119,0.04580000042915344,0.5674999952316284,0.002400000113993883,0.13750000298023224,0.04479999840259552,0.1324000060558319,0.02280000038444996
Sequence_23,randomly generated,Cytoplasm|Nucleus,,0.5893999934196472,0.5521000027656555,0.053199999034404755,0.10339999943971634,0.2994999885559082,0.00570000009611249,0.07739999890327454,0.03400000184774399,0.05009999871253967,0.03359999880194664
Sequence_24,randomly generated,Nucleus,,0.42879998683929443,0.5508000254631042,0.2870999872684479,0.09009999781847,0.3188000023365021,0.006300000008195639,0.19990000128746033,0.04280000180006027,0.12229999899864197,0.00430000014603138
Sequence_25,randomly generated,Extracellular,,0.36809998750686646,0.18700000643730164,0.48030000925064087,0.321399986743927,0.13109999895095825,0.0406000018119812,0.39820000529289246,0.23340000212192535,0.15289999544620514,0.032099999487400055
Sequence_26,randomly generated,Cytoplasm|Mitochondrion,,0.6152999997138977,0.5001999735832214,0.46799999475479126,0.12330000102519989,0.6434000134468079,0.0012000000569969416,0.19539999961853027,0.0414000004529953,0.08219999819993973,0.00419999985024333
Sequence_27,randomly generated,Cytoplasm,,0.5260999798774719,0.4478999972343445,0.3767000138759613,0.13459999859333038,0.6000999808311462,0.03700000047683716,0.2542000114917755,0.2484000027179718,0.23639999330043793,0.044199999421834946
Sequence_28,randomly generated,Cytoplasm,,0.5990999937057495,0.4025999903678894,0.35600000619888306,0.23499999940395355,0.3025999963283539,0.0052999998442828655,0.22370000183582306,0.1136000007390976,0.24639999866485596,0.01549999974668026
Sequence_29,randomly generated,Extracellular,,0.31119999289512634,0.30059999227523804,0.4912000000476837,0.16110000014305115,0.28700000047683716,0.025800000876188278,0.14550000429153442,0.07959999889135361,0.18539999425411224,0.25679999589920044
Sequence_30,randomly generated,Nucleus,Nuclear localization signal,0.39430001378059387,0.7411999702453613,0.09910000115633011,0.1039000004529953,0.3142000138759613,0.006200000178068876,0.13230000436306,0.05900000035762787,0.03720000013709068,0.004100000020116568
Sequence_31,randomly generated,Nucleus,Peroxisomal targeting signal,0.39399999380111694,0.7620999813079834,0.33410000801086426,0.032499998807907104,0.33809998631477356,0.01889999955892563,0.1704999953508377,0.1770000010728836,0.121799997985363,0.20160000026226044
Sequence_32,randomly generated,Cytoplasm,,0.49570000171661377,0.3912000060081482,0.22169999778270721,0.1784999966621399,0.5946000218391418,0.004000000189989805,0.13439999520778656,0.06629999727010727,0.04230000078678131,0.09809999912977219
