Protein_ID,experiment,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
design_1,LLPhyScore features,,,0.2551507,0.1437693,0.007412492,0.10030405,0.29896507,0.059546564,0.029469755,0.011735164,0.030383078,0.063263774
design_10,LLPhyScore features,,,0.3371602,0.33585867,0.050360523,0.1115217,0.036447424,0.035466183,0.020249195,0.025846161,0.02889134,0.01819861
design_100,LLPhyScore features,,,0.22357364,0.26157787,0.12573361,0.15594128,0.08423054,0.011515468,0.059040383,0.028070593,0.04190551,0.0084110955
design_11,LLPhyScore features,,,0.1675772,0.12963654,0.23880924,0.105865516,0.028266245,0.17558347,0.053556006,0.08241509,0.0089391265,0.009351546
design_12,LLPhyScore features,,,0.19167385,0.12969247,0.2563677,0.062269714,0.088768445,0.031574495,0.121061936,0.03851444,0.053849027,0.026227927
design_13,LLPhyScore features,,,0.14899088,0.0937024,0.22866155,0.032232814,0.085623644,0.12103518,0.13372841,0.040166333,0.04641822,0.06944055
design_14,LLPhyScore features,,,0.14867038,0.15575165,0.19129343,0.13081779,0.033008065,0.04254649,0.08147546,0.039435375,0.07261536,0.10438594
design_15,LLPhyScore features,,,0.22948293,0.18527459,0.2044672,0.118088424,0.050435,0.08014122,0.056341734,0.037730582,0.02911085,0.008927567
design_16,LLPhyScore features,,,0.11620406,0.09932282,0.19754523,0.11450197,0.03427192,0.13871984,0.12772912,0.09346373,0.044000674,0.034240603
design_17,LLPhyScore features,,,0.16735385,0.15698837,0.21864845,0.073090136,0.030972037,0.20032862,0.064945556,0.053250317,0.020948185,0.0134745715
design_18,LLPhyScore features,,,0.19157206,0.1868511,0.24070412,0.09566356,0.027779844,0.05924785,0.09351871,0.044057522,0.0410661,0.019539144
design_19,LLPhyScore features,,,0.22824496,0.2039101,0.15654527,0.111237094,0.115369074,0.006745775,0.09428516,0.03515904,0.043053105,0.005450418
design_2,LLPhyScore features,,,0.20994942,0.17137532,0.20967335,0.044170875,0.1107245,0.062614456,0.075032584,0.053408507,0.040890526,0.022160433
design_20,LLPhyScore features,,,0.15294908,0.08170931,0.23602735,0.080953784,0.07086697,0.19936946,0.07904288,0.06456285,0.018708184,0.015810153
design_21,LLPhyScore features,,,0.14038232,0.14894542,0.24863859,0.089733265,0.03266365,0.124823205,0.11489523,0.03394896,0.04156957,0.024399757
design_22,LLPhyScore features,,,0.1342336,0.07387059,0.19883329,0.075250536,0.13895296,0.024009705,0.14635572,0.039398327,0.065606125,0.10348913
design_23,LLPhyScore features,,,0.16808824,0.15584198,0.23762564,0.090800665,0.04327639,0.16064176,0.06830309,0.050819464,0.018125538,0.0064772475
design_24,LLPhyScore features,,,0.15679975,0.12670238,0.2423258,0.023358686,0.0693418,0.097705685,0.16083838,0.04398002,0.054954812,0.023992732
design_25,LLPhyScore features,,,0.16477963,0.12596403,0.24577187,0.07799724,0.04838998,0.11447959,0.12612687,0.047630556,0.031985346,0.016874896
design_26,LLPhyScore features,,,0.15418065,0.08799943,0.24494337,0.12786622,0.023346752,0.09054591,0.1718201,0.051095217,0.04052236,0.0076799365
design_27,LLPhyScore features,,,0.17009597,0.13333541,0.24212945,0.110247515,0.027207106,0.16616279,0.059087954,0.063699156,0.015312498,0.012722185
design_28,LLPhyScore features,,,0.3174661,0.3255695,0.016112221,0.109413855,0.05339645,0.0031379159,0.04493418,0.0075499946,0.108849175,0.013570579
design_29,LLPhyScore features,,,0.19855084,0.19080007,0.21247391,0.06007155,0.04007989,0.09454248,0.11682347,0.02230595,0.052448984,0.0119028585
design_3,LLPhyScore features,,,0.15280768,0.11606173,0.19918898,0.11323106,0.029800393,0.13153541,0.12694578,0.017866664,0.107910424,0.004651919
design_30,LLPhyScore features,,,0.15703058,0.16427478,0.17693798,0.107528396,0.018795371,0.14561367,0.11403739,0.06504877,0.04304782,0.0076851416
design_31,LLPhyScore features,,,0.16537905,0.13307184,0.23533219,0.04924916,0.112991154,0.11715182,0.078531325,0.03778633,0.017985437,0.05252173
design_32,LLPhyScore features,,,0.14852361,0.20780045,0.25175458,0.1064987,0.017478304,0.051339652,0.14569843,0.011933018,0.056368455,0.002604774
design_33,LLPhyScore features,,,0.20607308,0.14796223,0.2668915,0.04705026,0.05253444,0.10706821,0.09623837,0.053360533,0.01752454,0.0052967933
design_34,LLPhyScore features,,,0.22696431,0.20944238,0.16476102,0.042747024,0.21194333,0.010506015,0.05383873,0.008203523,0.046063762,0.025529854
design_35,LLPhyScore features,,,0.19309077,0.18676941,0.21952511,0.1104883,0.0971718,0.006829249,0.09047921,0.023291798,0.06293758,0.009416751
design_36,LLPhyScore features,,,0.1943545,0.15646689,0.2669521,0.06929268,0.051384754,0.078163825,0.06700121,0.09177645,0.014046711,0.010560848
design_37,LLPhyScore features,,,0.1329752,0.14951913,0.22865877,0.07454583,0.07248454,0.12984094,0.10800726,0.016910529,0.078700736,0.008357123
design_38,LLPhyScore features,,,0.24763878,0.2370308,0.02591978,0.096267045,0.0662238,0.010168004,0.051851563,0.024657875,0.087908454,0.15233387
design_39,LLPhyScore features,,,0.12438,0.14183684,0.23748125,0.11319409,0.0785207,0.06812638,0.11732566,0.03218297,0.04204849,0.044903666
design_4,LLPhyScore features,,,0.08981901,0.060247697,0.19916788,0.08320577,0.072838105,0.12093852,0.1460498,0.11253397,0.07614403,0.03905516
design_40,LLPhyScore features,,,0.09407079,0.048443515,0.183869,0.0750415,0.081713095,0.14413998,0.12031941,0.073648326,0.0441094,0.13464506
design_41,LLPhyScore features,,,0.16299906,0.17698799,0.2611339,0.15437087,0.0062528555,0.09665138,0.09063896,0.03927281,0.010924325,0.0007678685
design_42,LLPhyScore features,,,0.16832747,0.16323295,0.24722615,0.04154406,0.0855209,0.15728715,0.077092014,0.016265798,0.02447737,0.01902611
design_43,LLPhyScore features,,,0.15332001,0.1359606,0.2339568,0.13268736,0.013384121,0.11433658,0.1437117,0.021900898,0.04633483,0.0044070897
design_44,LLPhyScore features,,,0.1726296,0.17127524,0.23180158,0.07685806,0.038460933,0.16198494,0.06314403,0.04199831,0.02863816,0.013209088
design_45,LLPhyScore features,,,0.18088764,0.15865305,0.24622189,0.08084548,0.037742957,0.120083146,0.1021628,0.03452452,0.030047746,0.008830808
design_46,LLPhyScore features,,,0.16494405,0.14069696,0.24834122,0.06381464,0.060526464,0.087395355,0.13411804,0.028498776,0.04488333,0.026781147
design_47,LLPhyScore features,,,0.17372279,0.19132382,0.25033316,0.09646784,0.01465491,0.097972915,0.12287461,0.01979328,0.031587794,0.0012689075
design_48,LLPhyScore features,,,0.2989622,0.31545287,0.017945366,0.117470205,0.062336482,0.0018935425,0.032476462,0.014461048,0.1261646,0.012837202
design_49,LLPhyScore features,,,0.1749515,0.15535185,0.22816055,0.06691752,0.03636797,0.14818643,0.11245865,0.043551017,0.024690997,0.009363605
design_5,LLPhyScore features,,,0.19353339,0.15148492,0.26415244,0.06972698,0.035356965,0.13033156,0.11917652,0.017661884,0.016862439,0.0017128581
design_50,LLPhyScore features,,,0.19367358,0.17428735,0.24789865,0.07920543,0.03144901,0.14493251,0.07133733,0.031897075,0.020443007,0.004876082
design_51,LLPhyScore features,,,0.20297556,0.19493142,0.0050423606,0.07233881,0.29401812,0.01721435,0.0639786,0.0033540218,0.12303563,0.023111152
design_52,LLPhyScore features,,,0.31120884,0.32275516,0.0150472745,0.16189031,0.038253855,0.0102515435,0.02414219,0.041911345,0.049686674,0.024852885
design_53,LLPhyScore features,,,0.17548186,0.11607517,0.250998,0.12035515,0.023396548,0.09639664,0.14170414,0.034544382,0.03334974,0.007698373
design_54,LLPhyScore features,,,0.18203187,0.18990204,0.07598328,0.053109147,0.14594685,0.24305248,0.02336571,0.034289185,0.020643372,0.031676035
design_55,LLPhyScore features,,,0.1665896,0.088825606,0.25335565,0.11028822,0.028224675,0.06324358,0.19214037,0.027543025,0.06126903,0.008520176
design_56,LLPhyScore features,,,0.19719161,0.19160506,0.19386438,0.10564961,0.019894604,0.05273601,0.14542705,0.024455642,0.059060637,0.010115393
design_57,LLPhyScore features,,,0.14245768,0.13176756,0.21671656,0.04799723,0.041631285,0.17659418,0.09432064,0.08482434,0.042218357,0.021472199
design_58,LLPhyScore features,,,0.317045,0.3280733,0.017008374,0.12287737,0.1144845,0.0028274627,0.02369049,0.012937211,0.050142933,0.010913384
design_59,LLPhyScore features,,,0.22584875,0.19091076,0.23572755,0.083131075,0.048273418,0.023413114,0.118996024,0.011015954,0.055868797,0.006814623
design_6,LLPhyScore features,,,0.21836887,0.26565847,0.11255602,0.19685213,0.03394914,0.01253069,0.037976284,0.09070092,0.021835165,0.009572266
design_60,LLPhyScore features,,,0.15804847,0.14994645,0.23889078,0.06647145,0.05344001,0.15270853,0.08427108,0.058737256,0.025413014,0.012072988
design_61,LLPhyScore features,,,0.19315146,0.16916499,0.18768403,0.03172614,0.077364676,0.20023564,0.04762183,0.04678538,0.024757367,0.021508476
design_62,LLPhyScore features,,,0.22127342,0.23494007,0.16403936,0.09758609,0.059883602,0.00891169,0.07048102,0.039891914,0.09248465,0.010508239
design_63,LLPhyScore features,,,0.214888,0.15728474,0.15091804,0.14517587,0.0059393197,0.21417971,0.05535699,0.034038335,0.02033574,0.0018832225
design_64,LLPhyScore features,,,0.1589556,0.21218285,0.25182393,0.07668224,0.024456564,0.13136555,0.0946014,0.015763495,0.029575346,0.004593072
design_65,LLPhyScore features,,,0.20144796,0.20893437,0.21714458,0.09031173,0.09894696,0.06224816,0.069841586,0.011622315,0.035483375,0.004018982
design_66,LLPhyScore features,,,0.1832639,0.19978161,0.2261105,0.06748014,0.026840566,0.1474805,0.070695065,0.0501288,0.020405294,0.007813642
design_67,LLPhyScore features,,,0.14454389,0.10238295,0.19731945,0.029438302,0.12670068,0.117088184,0.089595206,0.044478413,0.05259113,0.09586179
design_68,LLPhyScore features,,,0.35439783,0.35828388,0.03733612,0.104756534,0.051289383,0.009192792,0.019628637,0.018512078,0.039641555,0.006961227
design_69,LLPhyScore features,,,0.16744056,0.09160278,0.261366,0.11922898,0.02463203,0.06634591,0.16384996,0.039393988,0.06004061,0.006099195
design_7,LLPhyScore features,,,0.1709505,0.12185067,0.25217232,0.041419536,0.12646772,0.17169833,0.051662948,0.046454336,0.011638227,0.0056854277
design_70,LLPhyScore features,,,0.13205317,0.13674438,0.24432522,0.104235254,0.02773573,0.086899124,0.16537984,0.042885058,0.05596862,0.0037735994
design_71,LLPhyScore features,,,0.14868867,0.11909528,0.24711746,0.13203019,0.039511498,0.055782806,0.15519111,0.012802505,0.08598249,0.0037979747
design_72,LLPhyScore features,,,0.27519646,0.2756308,0.021641172,0.15014176,0.18154845,0.0041278107,0.032974392,0.016339846,0.034853507,0.007545751
design_73,LLPhyScore features,,,0.16951278,0.13514695,0.26792535,0.08513989,0.03712784,0.08798335,0.12406055,0.049624287,0.03325581,0.010223171
design_74,LLPhyScore features,,,0.19327965,0.22381875,0.23354968,0.09380847,0.023570811,0.061735265,0.06973478,0.039023485,0.05362713,0.007851974
