seqid,AA_A,AA_C,AA_D,AA_E,AA_F,AA_G,AA_H,AA_I,AA_K,AA_L,AA_M,AA_N,AA_P,AA_Q,AA_R,AA_S,AA_T,AA_V,AA_W,AA_Y,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_MAPK_gen_1,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,D_repeats,ED_ratio,ELASTIN_LIKE,E_repeats,FG_repeats,FG_rich,FGxF,FRG,G_repeats,KAP_repeats,KL_hydropathy,K_repeats,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,N_repeats,PG_rich,PR_repeats,PTS_repeats,PY,P_repeats,QN_repeats,Q_repeats,REP_RGG,RG_repeats,RK_ratio,R_plus_Y,R_repeats,SGFYSG,SG_repeats,SR_repeats,S_repeats,TRG_ER_FFAT_1,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,acidic,aliphatic,aromatic,basic,chain_expanding,complexity,custom_kappa,custom_omega,disorder_promoting,fcr,isoelectric_point,net_charge,polar_fraction,scd,srpipi,lrpipi,Water,Carbon,ssH,ssE,disL,disS,srELEC,lrELEC,sr_hb,lr_hb,srCATPI,lrCATPI,larkSIM,larkFAR
A0A024R2Q3_HUMAN,0.10115236875800256,0.014084507042253521,0.05377720870678617,0.06145966709346991,0.016645326504481434,0.07170294494238157,0.034571062740076826,0.04225352112676056,0.03329065300896287,0.1203585147247119,0.03841229193341869,0.03969270166453265,0.04481434058898848,0.06274007682458387,0.0499359795134443,0.05377720870678617,0.06145966709346991,0.06914212548015365,0.008962868117797696,0.02176696542893726,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,42.0,0.13062018241706422,0.0,48.0,69.0,0.0,0.0,2.0,56.0,140.0,-0.17503201024327786,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,11.0,5.0,0.0,7.0,2.0,4.0,0.0,1.0,3.0,0.0,2.0,31.0,10.0,74.0,125.0,0.0,35.0,80.0,49.0,0.0,95.0,0.3930425881096072,56.0,39.0,6.0,98.0,81.0,42.0,0.0,0.0,3.0,1.0,0.0,0.11523687580025609,0.3713188220230474,0.04737516005121639,0.08322663252240717,0.24327784891165172,2.7874509245538786,0.3029623091258241,0.3602821902183793,0.6286811779769527,0.19846350832266324,5.528057098388672,-25.0,0.3380281690140845,4.685074941973316,0.05807467535517184,0.07917416002992773,4.381568663102292,14.953690862668969,0.45263059580822007,0.16738868986126923,0.0677779285433186,0.23603560757699069,-0.04244878212693223,-0.34418130211517156,0.1912789959809822,0.213937348443673,-0.07432280844257583,-0.19725076718394965,0.1309341760728762,0.2964323740674494
NBDY_HUMAN,0.10294117647058823,0.029411764705882353,0.029411764705882353,0.04411764705882353,0.0,0.10294117647058823,0.014705882352941176,0.0,0.07352941176470588,0.07352941176470588,0.014705882352941176,0.029411764705882353,0.23529411764705882,0.014705882352941176,0.058823529411764705,0.08823529411764706,0.058823529411764705,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.28768207245178085,0.0,3.0,7.0,0.0,0.0,0.0,7.0,28.0,-1.0058823529411764,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,20.0,26.0,0.0,16.0,3.0,1.0,0.0,11.0,-0.1823215567939546,5.0,4.0,0.0,13.0,10.0,6.0,0.0,0.0,0.0,0.0,1.0,0.07352941176470588,0.19117647058823528,0.029411764705882353,0.1323529411764706,0.4411764705882353,2.174304641496189,-0.6533617868280712,-1.0979473866371094,0.8235294117647058,0.20588235294117646,9.510684967041016,4.0,0.3382352941176471,0.06346452149783254,0.07117891953974599,0.09065022918440264,5.253558637880329,13.247944649417802,0.19921690523754745,0.1207952064270006,0.21654901248818775,0.3688815173948244,0.16268477934361622,-0.35611088411079006,0.16029758538568878,0.23848479079470744,-0.0931544856587373,-0.2398469794132443,0.20102698204521083,0.08317291449491666
RCCD1_HUMAN,0.13031914893617022,0.018617021276595744,0.03723404255319149,0.0851063829787234,0.026595744680851064,0.13031914893617022,0.018617021276595744,0.010638297872340425,0.02127659574468085,0.10372340425531915,0.007978723404255319,0.013297872340425532,0.061170212765957445,0.0398936170212766,0.06914893617021277,0.05851063829787234,0.0425531914893617,0.06914893617021277,0.031914893617021274,0.023936170212765957,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,0.7884573603642703,0.0,32.0,59.0,4.0,0.0,12.0,49.0,80.0,-0.25132978723404253,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,49.0,61.0,0.0,23.0,20.0,15.0,3.0,75.0,1.0986122886681098,35.0,26.0,6.0,71.0,48.0,22.0,0.0,2.0,1.0,0.0,0.0,0.12234042553191489,0.32180851063829785,0.08244680851063829,0.09042553191489362,0.27393617021276595,2.6287738476353413,0.3422565042195667,-0.053242090597252024,0.6941489361702128,0.2127659574468085,5.183536529541016,-12.0,0.32180851063829785,0.20871480071789278,0.06941670431051158,0.10645374734377804,4.630514890807469,14.582080090633843,0.36441136200816965,0.20223202453111036,0.08803913833688463,0.26672000535922386,0.017972654545662176,-0.3932741368237132,0.1522385736307943,0.2292643429023004,-0.1268938342997302,-0.2811344069301926,0.16398434703448786,0.2212000467304695
MEI4_HUMAN,0.04155844155844156,0.015584415584415584,0.04415584415584416,0.08051948051948052,0.04935064935064935,0.033766233766233764,0.02857142857142857,0.046753246753246755,0.06493506493506493,0.15064935064935064,0.012987012987012988,0.03636363636363636,0.02857142857142857,0.06233766233766234,0.03896103896103896,0.12727272727272726,0.05194805194805195,0.04415584415584416,0.012987012987012988,0.02857142857142857,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,17.0,0.5753641449035618,0.0,31.0,32.0,0.0,0.0,0.0,13.0,52.0,-0.3031168831168831,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,11.0,4.0,0.0,3.0,1.0,2.0,0.0,8.0,1.0,0.0,2.0,14.0,0.0,26.0,80.0,0.0,11.0,38.0,24.0,0.0,28.0,-0.48550781578170077,26.0,15.0,0.0,62.0,64.0,49.0,0.0,0.0,2.0,0.0,0.0,0.12467532467532468,0.2961038961038961,0.09090909090909091,0.1038961038961039,0.2571428571428571,2.688143115053965,1.273582657664921,-0.1452014169932663,0.6025974025974026,0.22857142857142856,5.823390960693359,-8.0,0.35584415584415585,-0.3490970388860855,0.06475005009415236,0.07583981777835878,4.399213181677887,15.28341514988569,0.4857252124698791,0.1564853204284984,0.07242958995094677,0.22844822091524336,-0.04783935133948636,-0.32425092350121004,0.21069531842802194,0.19931603318060612,-0.14210413566266802,-0.2687177424403278,0.12281789739891924,0.33342552640869483
SYNEM_HUMAN,0.08370607028753993,0.0038338658146964857,0.05047923322683706,0.12587859424920128,0.021725239616613417,0.08242811501597444,0.021725239616613417,0.02939297124600639,0.043450479233226834,0.07667731629392971,0.012779552715654952,0.01597444089456869,0.043450479233226834,0.0536741214057508,0.08562300319488818,0.09456869009584665,0.058146964856230034,0.06964856230031949,0.009584664536741214,0.017252396166134186,5.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,2.0,6.0,4.0,0.0,4.0,15.0,79.0,0.9062403960206536,0.0,197.0,163.0,0.0,0.0,20.0,129.0,267.0,-0.7736741214057509,68.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,2.0,4.0,10.0,0.0,1.0,3.0,2.0,1.0,2.0,25.0,22.0,0.0,28.0,5.0,0.0,14.0,1.0,15.0,3.0,18.0,14.0,2.0,9.0,25.0,5.0,202.0,307.0,0.0,68.0,109.0,84.0,0.0,263.0,0.6711682738411701,161.0,134.0,12.0,277.0,282.0,148.0,0.0,15.0,3.0,3.0,0.0,0.17635782747603834,0.2722044728434505,0.04856230031948882,0.129073482428115,0.3488817891373802,2.728913457837443,-1.8636671289406561,-0.013489550452121178,0.7431309904153355,0.30543130990415335,5.084095001220703,-74.0,0.3303514376996805,33.29085149290232,0.06909533075816693,0.08626486829134522,4.728196196870521,14.632379862492412,0.40904121884236133,0.2014373579494257,0.08187764419238394,0.2518832362297114,-0.03211816323829781,-0.4020847551653178,0.19062308356883195,0.2268571849935809,-0.08146123598415538,-0.20505246452834464,0.15563608839983087,0.2634974907665748
NKRF_HUMAN,0.06086956521739131,0.017391304347826087,0.04927536231884058,0.07391304347826087,0.02608695652173913,0.06521739130434782,0.021739130434782608,0.05507246376811594,0.0927536231884058,0.06231884057971015,0.021739130434782608,0.04927536231884058,0.050724637681159424,0.059420289855072465,0.050724637681159424,0.07681159420289856,0.059420289855072465,0.059420289855072465,0.007246376811594203,0.04057971014492753,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,0.0,1.0,0.0,2.0,34.0,0.3958956570920137,0.0,51.0,63.0,0.0,0.0,4.0,45.0,141.0,-0.7391304347826085,64.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,11.0,0.0,12.0,8.0,0.0,7.0,1.0,4.0,0.0,4.0,2.0,2.0,2.0,34.0,10.0,70.0,129.0,2.0,35.0,75.0,41.0,0.0,80.0,-0.5908683314395271,63.0,35.0,6.0,98.0,88.0,53.0,0.0,4.0,2.0,0.0,1.0,0.12318840579710146,0.2594202898550725,0.07391304347826087,0.14347826086956522,0.3173913043478261,2.8214543666707974,0.7674886313770881,0.4672155306700791,0.6608695652173913,0.26666666666666666,8.942928314208984,14.0,0.3492753623188406,-0.16304608379507443,0.06849620246988813,0.08563360800239765,4.714100073468786,14.769723038012188,0.35479369984108944,0.21400130751947294,0.1032999784400478,0.2662301722605303,0.042957177286840925,-0.4078428402153396,0.19700224858287185,0.23212064662414042,-0.13158965809719306,-0.26907133212932566,0.16584810715461612,0.21997858951913116
ZN185_HUMAN,0.08853410740203194,0.023222060957910014,0.047895500725689405,0.08272859216255443,0.018867924528301886,0.0841799709724238,0.008708272859216255,0.036284470246734396,0.055152394775036286,0.04354136429608128,0.011611030478955007,0.020319303338171262,0.0899854862119013,0.04354136429608128,0.07402031930333818,0.12772133526850507,0.06531204644412192,0.05370101596516691,0.005805515239477504,0.018867924528301886,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,11.0,33.0,0.5340824859302579,0.0,57.0,71.0,0.0,0.0,10.0,58.0,161.0,-0.7654571843251088,38.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,2.0,2.0,1.0,1.0,18.0,11.0,1.0,22.0,4.0,0.0,5.0,5.0,15.0,2.0,3.0,9.0,0.0,6.0,14.0,0.0,113.0,195.0,4.0,62.0,44.0,30.0,6.0,109.0,0.28768207245178085,64.0,51.0,3.0,146.0,139.0,88.0,0.0,4.0,0.0,0.0,0.0,0.13062409288824384,0.23367198838896952,0.04354136429608128,0.12917271407837447,0.3497822931785196,2.706545942392754,-1.0141728783701809,0.20297205331769858,0.7677793904208998,0.2597968069666183,6.734653472900391,-1.0,0.37300435413642963,-2.1909970103232044,0.06571670533179268,0.08845441968318607,4.94121724329015,14.059829711415448,0.28662770095701867,0.20483871712022253,0.14105096949624701,0.3033202318785305,0.0886767704451523,-0.4149787474519089,0.20870636589651934,0.24549687021279407,-0.08454279125150158,-0.21722060007422497,0.18733544045382775,0.15245224868234136
NPHP1_HUMAN,0.0546448087431694,0.01366120218579235,0.050546448087431695,0.10382513661202186,0.03551912568306011,0.056010928961748634,0.017759562841530054,0.04918032786885246,0.05191256830601093,0.11748633879781421,0.02185792349726776,0.036885245901639344,0.04781420765027322,0.0546448087431694,0.06420765027322405,0.07923497267759563,0.0546448087431694,0.05327868852459016,0.017759562841530054,0.01912568306010929,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,1.0,3.0,1.0,4.0,37.0,0.706219262127298,0.0,76.0,67.0,0.0,0.0,4.0,41.0,113.0,-0.4852459016393441,38.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,3.0,3.0,0.0,0.0,1.0,6.0,7.0,0.0,9.0,4.0,0.0,4.0,0.0,7.0,1.0,4.0,4.0,0.0,2.0,27.0,0.0,82.0,133.0,4.0,35.0,67.0,40.0,0.0,88.0,0.20763936477824455,61.0,47.0,0.0,99.0,105.0,58.0,0.0,7.0,4.0,1.0,1.0,0.15437158469945356,0.296448087431694,0.07240437158469945,0.11612021857923498,0.31830601092896177,2.790920145141608,1.8654472631132832,-0.12929416654984707,0.6352459016393442,0.27049180327868855,5.112346649169922,-28.0,0.3128415300546448,-1.2500016285694655,0.06451256439242806,0.08026642813660925,4.499216513289096,15.016086881574735,0.43279299977186714,0.1778462639179526,0.07266660182599818,0.2427313624854679,-0.0009322102253570108,-0.3684614594464414,0.19707079759582719,0.2109382890468129,-0.11140788269135038,-0.2501376386744517,0.13833531468788332,0.2816775365430769
MSH4_HUMAN,0.0673076923076923,0.0202991452991453,0.03739316239316239,0.06623931623931624,0.03632478632478633,0.042735042735042736,0.014957264957264958,0.07585470085470085,0.05876068376068376,0.09829059829059829,0.023504273504273504,0.053418803418803416,0.0438034188034188,0.045940170940170943,0.04487179487179487,0.10256410256410256,0.07371794871794872,0.04700854700854701,0.002136752136752137,0.04487179487179487,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,6.0,0.0,11.0,35.0,0.5596157879354227,0.0,62.0,74.0,4.0,0.0,20.0,40.0,159.0,-0.23995726495726502,55.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,3.0,1.0,0.0,2.0,3.0,16.0,0.0,3.0,4.0,0.0,0.0,2.0,15.0,6.0,0.0,21.0,11.0,0.0,5.0,0.0,8.0,0.0,11.0,11.0,0.0,5.0,50.0,0.0,83.0,206.0,0.0,41.0,93.0,43.0,0.0,82.0,-0.26415157504158676,84.0,42.0,9.0,136.0,138.0,96.0,0.0,1.0,2.0,0.0,0.0,0.10363247863247864,0.31196581196581197,0.08333333333333333,0.10363247863247864,0.25106837606837606,2.802129102854832,-1.153941496425809,-0.0967561039381353,0.5982905982905983,0.20726495726495728,7.241207122802734,0.0,0.35363247863247865,-1.2251883486950204,0.05943311808700856,0.08005335889088244,4.464175278728374,15.0427110883848,0.41724467572013546,0.1902465918555888,0.08335339770374152,0.24612468101663923,0.016915768425947067,-0.35913789701969323,0.2017279589507505,0.2166106197973954,-0.1223300280815988,-0.2690995033833538,0.14544721643649192,0.2691129229841487
RRP8_HUMAN,0.09429824561403509,0.02850877192982456,0.05263157894736842,0.06798245614035088,0.039473684210526314,0.05043859649122807,0.019736842105263157,0.015350877192982455,0.08991228070175439,0.08552631578947369,0.008771929824561403,0.02631578947368421,0.08552631578947369,0.06140350877192982,0.07894736842105263,0.08552631578947369,0.03289473684210526,0.05921052631578947,0.008771929824561403,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,24.0,0.2468600779315258,0.0,31.0,41.0,0.0,0.0,4.0,23.0,123.0,-0.7550438596491228,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,5.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,12.0,0.0,75.0,93.0,0.0,39.0,40.0,28.0,0.0,59.0,-0.1267517056391439,40.0,36.0,0.0,62.0,75.0,39.0,0.0,3.0,1.0,0.0,6.0,0.1206140350877193,0.2631578947368421,0.05701754385964912,0.16885964912280702,0.375,2.706203211946989,3.605512572373888,-0.7009194985340894,0.7192982456140351,0.2894736842105263,9.508548736572266,22.0,0.3048245614035088,3.913142234381812,0.0692988413883951,0.08003949092999912,4.743576827746156,14.641394438907705,0.4127807637221798,0.15067705714990245,0.10115870058250624,0.2656509564495219,-0.024699609169181912,-0.370991170154416,0.18822617584452403,0.2156909785468901,-0.11923117574553461,-0.23768074695515634,0.1460136706116036,0.26093440161622333
