Protein_ID,experiment,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
design_1,LLPhyScore features,,,0.10318783,0.13834976,0.254704,0.11786158,0.030740716,0.14264585,0.122614495,0.058106683,0.02527157,0.006517547
design_10,LLPhyScore features,,,0.25050795,0.27815387,0.11907381,0.1893113,0.011247194,0.010086785,0.066084005,0.012776876,0.0616601,0.0010981624
design_11,LLPhyScore features,,,0.32604638,0.3411001,0.005924086,0.20009567,0.011602501,0.0012739706,0.03160523,0.0033358638,0.07750581,0.0015103549
design_12,LLPhyScore features,,,0.15217595,0.20041439,0.20341328,0.16062066,0.037579592,0.077878684,0.05709731,0.040744055,0.034962572,0.035113562
design_13,LLPhyScore features,,,0.13599247,0.16804974,0.25632545,0.13099012,0.023977198,0.12105827,0.08989156,0.034416083,0.035466954,0.003832176
design_14,LLPhyScore features,,,0.164789,0.18631025,0.22855167,0.109377086,0.034252252,0.099887446,0.08599744,0.026755078,0.058942012,0.0051377616
design_15,LLPhyScore features,,,0.23076749,0.27427354,0.14750396,0.15427206,0.06597936,0.016250197,0.03597689,0.03227961,0.027892793,0.014804151
design_16,LLPhyScore features,,,0.18806621,0.21700558,0.2436534,0.15586339,0.014497035,0.06021831,0.05576547,0.030504068,0.032327253,0.0020992926
design_17,LLPhyScore features,,,0.17887743,0.20461962,0.24658698,0.12488999,0.01323161,0.083613865,0.081843406,0.015203893,0.049866606,0.0012666036
design_18,LLPhyScore features,,,0.101323985,0.13561152,0.24551734,0.11347143,0.037766475,0.15820406,0.10570684,0.071339905,0.02282859,0.008229749
design_19,LLPhyScore features,,,0.12908246,0.13525888,0.22752784,0.092098325,0.055275407,0.108167745,0.09442906,0.046373535,0.056641947,0.05514477
design_2,LLPhyScore features,,,0.18087406,0.22688632,0.2282904,0.15551905,0.010809097,0.024701582,0.0942812,0.0070466152,0.068771295,0.0028203847
design_20,LLPhyScore features,,,0.12742841,0.15769511,0.24201751,0.12484117,0.031594552,0.122584835,0.09578965,0.06962488,0.02054837,0.007875541
design_21,LLPhyScore features,,,0.28828487,0.2990627,0.012207052,0.2436936,0.01281266,0.020432271,0.021876477,0.075996265,0.017323148,0.0083108945
design_22,LLPhyScore features,,,0.15779223,0.18072277,0.2386359,0.16226399,0.01265241,0.13930881,0.03463531,0.058825802,0.011323719,0.0038390954
design_23,LLPhyScore features,,,0.31719705,0.3310097,0.0059433463,0.25057468,0.014508898,0.0061165644,0.013170278,0.038717933,0.016941892,0.0058197277
design_24,LLPhyScore features,,,0.29324996,0.303107,0.026389096,0.14587398,0.043473743,0.036921345,0.042230524,0.046233263,0.04428493,0.018236106
design_25,LLPhyScore features,,,0.097097725,0.098026454,0.22968021,0.16536848,0.026635442,0.088286474,0.1572859,0.036820754,0.090612546,0.010185984
design_26,LLPhyScore features,,,0.35403618,0.36477974,0.008355614,0.16286086,0.029106485,0.0021639618,0.021721425,0.009955,0.0446741,0.0023466425
design_27,LLPhyScore features,,,0.31162187,0.32694948,0.015148298,0.17843097,0.039157957,0.0047863075,0.032432735,0.022311991,0.059036143,0.010124227
design_28,LLPhyScore features,,,0.33860886,0.35699558,0.012186533,0.16445565,0.026839608,0.0025825286,0.034174193,0.0036443693,0.057005633,0.0035069732
design_29,LLPhyScore features,,,0.12983559,0.18791987,0.25114843,0.110705025,0.03709892,0.07195322,0.13145041,0.021826318,0.053691857,0.004370355
design_3,LLPhyScore features,,,0.16797248,0.19041717,0.23831144,0.10590309,0.047456797,0.12057669,0.056075003,0.04051792,0.024162803,0.008606617
design_30,LLPhyScore features,,,0.33636296,0.3483489,0.011034346,0.20079426,0.022958307,0.0057004434,0.017298982,0.02143509,0.032152,0.003914753
