Protein_ID,experiment,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
Sequence_1,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8224999904632568,0.4144000113010406,0.0839999988675117,0.0522000007331371,0.1396999955177307,0.0035999999381601,0.0694999992847442,0.0710000023245811,0.0724000036716461,0.008899999782443,0.1196999996900558,0.0737999975681305,0.1784999966621399,0.8349000215530396
Sequence_2,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.822700023651123,0.4004999995231628,0.0662999972701072,0.0595000013709068,0.1545999944210052,0.0041000000201165,0.090499997138977,0.1036000028252601,0.0778999999165535,0.0108000002801418,0.1614000052213668,0.0427000001072883,0.1168999969959259,0.8737000226974487
Sequence_3,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8222000002861023,0.3961000144481659,0.0619000010192394,0.0707999989390373,0.1062999963760376,0.002600000007078,0.0829000025987625,0.0830999985337257,0.061999998986721,0.0037000000011175,0.1331000030040741,0.0671000033617019,0.100100003182888,0.8503000140190125
Sequence_4,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8252999782562256,0.400299996137619,0.0718000009655952,0.0706999972462654,0.1419000029563903,0.0027999999001622,0.0692000016570091,0.0819000005722045,0.0737999975681305,0.0066999997943639,0.1330000013113021,0.0584000013768672,0.1450999975204467,0.8575000166893005
Sequence_5,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.7810999751091003,0.3907999992370605,0.0828000009059906,0.0850000008940696,0.1480000019073486,0.003000000026077,0.0825999975204467,0.1129999980330467,0.0926999971270561,0.0076000001281499,0.1683000028133392,0.0570000000298023,0.1101000010967254,0.8784999847412109
Sequence_6,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.7982000112533569,0.3425999879837036,0.088699996471405,0.0984999984502792,0.1118000000715255,0.0024999999441206,0.0975999981164932,0.1088000014424324,0.0800999999046325,0.0041000000201165,0.19200000166893,0.0388999991118907,0.093199998140335,0.8938999772071838
Sequence_7,randomly generated,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.8022000193595886,0.5365999937057495,0.0553000010550022,0.0746999979019165,0.1115000024437904,0.0031000000890344,0.0771000012755394,0.0621000006794929,0.0557999983429908,0.0057000000961124,0.153899997472763,0.0531999990344047,0.1473000049591064,0.8507999777793884
Sequence_8,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.7756999731063843,0.418500006198883,0.0785000026226043,0.0727000012993812,0.1324999928474426,0.0024999999441206,0.093299999833107,0.0974999964237213,0.0794000029563903,0.0044999998062849,0.1774999946355819,0.0478999987244606,0.0847000032663345,0.8701000213623047
Sequence_9,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8026999831199646,0.3826999962329864,0.0692000016570091,0.0746000036597251,0.1553000062704086,0.0049000000581145,0.0681999996304512,0.1023000031709671,0.0771000012755394,0.0081000002101063,0.1756999939680099,0.0789000019431114,0.1072999984025955,0.8429999947547913
Sequence_10,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8241999745368958,0.4316000044345855,0.0636000037193298,0.0593999996781349,0.1058999970555305,0.0028999999631196,0.0864000022411346,0.089599996805191,0.061999998986721,0.0054999999701976,0.1431999951601028,0.069300003349781,0.1107999980449676,0.8549000024795532
Sequence_11,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8030999898910522,0.4072999954223633,0.0760999992489814,0.0837000012397766,0.1142000034451484,0.0077999997884035,0.0760999992489814,0.0882999971508979,0.0612999983131885,0.0073000001721084,0.1589999943971634,0.0476000010967254,0.0839999988675117,0.882099986076355
Sequence_12,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8130000233650208,0.4323999881744385,0.0604000017046928,0.0882999971508979,0.1159999966621398,0.0041000000201165,0.0737000033259391,0.068800002336502,0.0577000007033348,0.0054000001400709,0.1564999967813491,0.0513000003993511,0.0769999995827674,0.8824999928474426
Sequence_13,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.779699981212616,0.4023999869823456,0.0696000009775161,0.1124000027775764,0.1099999994039535,0.0048000002279877,0.2178999930620193,0.1076999977231025,0.1096000000834465,0.0098999999463558,0.1500000059604644,0.0582999996840953,0.1133000031113624,0.8543000221252441
Sequence_14,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8271999955177307,0.4183000028133392,0.0544999986886978,0.0754999965429306,0.1092000007629394,0.0035000001080334,0.1086999997496604,0.0961000025272369,0.0725999996066093,0.0035999999381601,0.1562000066041946,0.0427000001072883,0.0913000032305717,0.8822000026702881
Sequence_15,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8270000219345093,0.3844000101089477,0.0612000003457069,0.0714000016450882,0.146599993109703,0.0023000000510364,0.0878000035881996,0.0891000032424926,0.0731000006198883,0.0035999999381601,0.1506000012159347,0.0662000030279159,0.1509000062942505,0.8616999983787537
Sequence_16,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.7871000170707703,0.4250999987125397,0.0593999996781349,0.0754999965429306,0.1254999935626983,0.0052999998442828,0.0636999979615211,0.0775000005960464,0.0623000003397464,0.013600000180304,0.1555999964475631,0.0562000013887882,0.1105000004172325,0.8637999892234802
Sequence_17,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8119999766349792,0.4225000143051147,0.0485000014305114,0.093199998140335,0.125900000333786,0.0049000000581145,0.1115999966859817,0.098700001835823,0.0653999969363212,0.0059000002220273,0.2036000043153762,0.060199998319149,0.1190999969840049,0.8396999835968018
Sequence_18,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8287000060081482,0.4111000001430511,0.0962999984622001,0.0724000036716461,0.1220000013709068,0.0049000000581145,0.0844999998807907,0.0944000035524368,0.0737000033259391,0.0066999997943639,0.1416999995708465,0.0878999978303909,0.1474000066518783,0.8240000009536743
Sequence_19,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8217999935150146,0.4178000092506408,0.0627999976277351,0.0754000023007392,0.1165999993681907,0.0028999999631196,0.098300002515316,0.0851999968290329,0.0711999982595443,0.0082999998703598,0.1528999954462051,0.0513999983668327,0.0957999974489212,0.8729000091552734
Sequence_20,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8273000121116638,0.4273000061511993,0.0507000014185905,0.0759999975562095,0.1093000024557113,0.0038000000640749,0.0742999985814094,0.0772999972105026,0.0614000000059604,0.0044999998062849,0.1384000033140182,0.0438000001013278,0.1120999976992607,0.8812999725341797
Sequence_21,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8274999856948853,0.4339999854564667,0.0666999965906143,0.068400003015995,0.1125999987125396,0.0027000000700354,0.0710000023245811,0.0826999992132186,0.0535000003874301,0.0031999999191612,0.1298999935388565,0.0866999998688697,0.1189000010490417,0.8460999727249146
Sequence_22,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8145999908447266,0.4086999893188476,0.0728999972343444,0.0644000023603439,0.1692000031471252,0.002600000007078,0.096400000154972,0.0923999994993209,0.0794000029563903,0.0074999998323619,0.1569000035524368,0.0493000000715255,0.088699996471405,0.885699987411499
Sequence_23,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.830299973487854,0.428600013256073,0.0577000007033348,0.0732999965548515,0.1208000034093856,0.0027999999001622,0.0802000015974044,0.0811000019311904,0.0571999996900558,0.0063000000081956,0.1683000028133392,0.049100000411272,0.1349000036716461,0.8546000123023987
Sequence_24,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8133999705314636,0.4600000083446502,0.0710999965667724,0.0736000016331672,0.1308999955654144,0.0035000001080334,0.0830999985337257,0.0835999995470047,0.0764999985694885,0.0048000002279877,0.1660999953746795,0.0463000014424324,0.0916000008583068,0.8705000281333923
Sequence_25,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8234000205993652,0.3831000030040741,0.0727000012993812,0.0816999971866607,0.1137999966740608,0.0037000000011175,0.0998999997973442,0.1145000010728836,0.0777999982237815,0.0043000001460313,0.1410000026226043,0.0445000007748603,0.1316000074148178,0.8787000179290771
Sequence_26,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8220999836921692,0.42289999127388,0.0687000006437301,0.0687000006437301,0.1467999964952469,0.002600000007078,0.1020999997854232,0.0953999981284141,0.0777999982237815,0.0070000002160668,0.1656000018119812,0.0653999969363212,0.1048000007867813,0.8452000021934509
Sequence_27,randomly generated,Cytoplasm,Nuclear localization signal,Soluble,0.8129000067710876,0.4654000103473663,0.0641999989748001,0.062399998307228,0.121299996972084,0.0048000002279877,0.1169999986886978,0.1055999994277954,0.0829000025987625,0.0110999997705221,0.1695999950170517,0.0494999997317791,0.0910999998450279,0.8683000206947327
