ProtID,experiment,cajal_body,cell_junction,chromosome,nuclear_pore_complex,nuclear_speckle,nucleolus,p-body,pml-body,post_synaptic_density,rna_granule,stress_granule,transcriptional
Sequence_1,randomly generated,0.00021715986,7.387457e-11,0.15182221,0.0011332256,8.033424e-07,0.00014281743,0.8420779,0.003239573,1.6896909e-13,2.0594657e-09,0.001323447,4.2817635e-05
Sequence_10,randomly generated,1.2421231e-08,4.9100383e-13,0.99923855,8.425376e-05,1.929821e-06,0.00059825485,6.393683e-05,1.3089764e-05,5.997059999999999e-20,1.1471684e-20,2.5855645e-08,2.1472651e-08
Sequence_100,randomly generated,4.7293488e-05,0.006012553,0.0023122013,0.049992427,5.4819296e-08,4.2407478e-07,0.9411093,0.00043714736,1.3000635e-10,1.613337e-16,1.2558215e-06,8.7298184e-05
Sequence_11,randomly generated,1.2596276e-09,8.6432685e-08,0.32505628,0.000214893,8.34052e-11,1.0739872e-06,0.63610077,0.0009999503,2.4418396e-13,2.5232162e-11,0.037626896,3.1373784e-08
Sequence_12,randomly generated,6.049598e-08,0.94544905,7.401767e-12,2.3842074e-11,1.1830844e-06,0.00019635928,7.5177604e-06,0.00016974907,0.05417535,6.651422e-20,6.9872056e-07,4.2710195e-09
Sequence_13,randomly generated,6.355438e-08,0.5237348,3.199261e-05,3.6626893e-06,1.335428e-06,5.157837e-08,0.47622728,5.397833e-07,5.0078647e-10,4.1865456e-20,2.9177485e-07,1.848607e-08
Sequence_14,randomly generated,4.6754394e-08,0.9498719,5.075795e-10,0.050125137,4.9249568e-08,2.7783499e-16,1.848992e-07,2.202972e-08,2.300211e-06,1.2815646e-28,1.6861793e-07,8.676837e-08
Sequence_15,randomly generated,0.0029910007,1.657513e-05,0.7257328,3.4954e-05,1.4256665e-05,0.013772768,0.25743553,1.5873804e-06,2.790151e-09,1.4841977e-12,1.5692206e-07,4.036109e-07
Sequence_16,randomly generated,0.06799185,1.2182713e-10,0.0012789994,0.9264908,1.5834356e-05,1.8888562e-08,1.0646127e-05,0.004196884,4.7729714e-09,4.0739638e-18,1.4778023e-05,2.8476373e-07
Sequence_17,randomly generated,5.891934e-06,0.01699177,0.0014032497,0.004888681,0.0023561774,1.2971087e-10,0.5784104,3.7390706e-05,1.18188145e-05,1.4755011e-11,0.38447788,0.011416776
